ISBN,Title,Author,Genre,Format,Age,Lexile,Price,Stock,Publication Date,Publisher,Edition Description,Series,Length,Language
9780451461971,Storm Front Book 1,"Butcher, Jim",Paranormal Fiction,1,18,830L,$26.00 ,1,11/6/2007,Penguin Publishing Group,,1,320p,English
9780593335154,Storm Front Book 1,"Butcher, Jim",Paranormal Fiction,2,18,830L,$9.99 ,1,4/28/2000,Penguin Publishing Group,,1,320p,English
9780451457813,Storm Front Book 1,"Butcher, Jim",Paranormal Fiction,3,18,830L,$9.99 ,1,4/1/2000,Penguin Publishing Group,,1,384p,English
9781101128657,Storm Front Book 1,"Butcher, Jim",Paranormal Fiction,4,18,830L,$2.99 ,1,4/1/2000,Penguin Publishing Group,,1,332p,English
9781480596894,Storm Front Book 1,"Butcher, Jim",Paranormal Fiction,5,18,830L,$14.99 ,1,6/1/2015,Penguin Publishing Group,,1,8h,English
9780451462022,Fool Moon,"Butcher, Jim",Paranormal Fiction,1,18,850L,$26.00 ,1,1/28/2001,Penguin Publishing Group,,1,432p,English
9780356500287,Fool Moon,"Butcher, Jim",Paranormal Fiction,2,18,850L,$14.00 ,1,1/28/2001,Penguin Publishing Group,,1,432p,English
9780451458124,Fool Moon,"Butcher, Jim",Paranormal Fiction,3,18,850L,$3.99 ,1,1/1/2001,Penguin Publishing Group,,1,401p,English
9781440631696,Fool Moon,"Butcher, Jim",Paranormal Fiction,4,18,850L,$3.99 ,1,1/1/2001,Penguin Publishing Group,,1,432p,English
9780979074950,Fool Moon,"Butcher, Jim",Paranormal Fiction,5,18,850L,$19.99 ,1,2/10/2009,Buzzy Multimedia,Unabridged,1,10h,English
9780451462343,Grave Peril,"Butcher, Jim",Paranormal Fiction,1,18,730L,$26.00 ,1,11/4/2008,Penguin Publishing Group,,1,464p,English
9780356500294,Grave Peril,"Butcher, Jim",Paranormal Fiction,2,18,730L,$9.99 ,1,9/28/2001,Penguin Publishing Group,,1,464p,English
9780451458445,Grave Peril,"Butcher, Jim",Paranormal Fiction,3,18,730L,$9.99 ,1,9/1/2001,Penguin Publishing Group,,1,378p,English
9781440653902,Grave Peril,"Butcher, Jim",Paranormal Fiction,4,18,730L,$5.99 ,1,11/4/2008,Penguin Publishing Group,,1,384p,English
9781480596917,Grave Peril,"Butcher, Jim",Paranormal Fiction,5,18,730L,$14.99 ,1,8/1/2015,Brilliance Audio,Unabridged,1,11h,English
9780451462756,Summer Knight,"Butcher, Jim",Paranormal Fiction,1,18,null,$13.00 ,1,7/7/2009,Penguin Publishing Group,,1,336p,English
9780356500300,Summer Knight,"Butcher, Jim",Paranormal Fiction,2,18,null,$11.00 ,1,5/1/2011,Penguin Publishing Group,,1,371p,English
9780451458926,Summer Knight,"Butcher, Jim",Paranormal Fiction,3,18,null,$9.99 ,1,9/3/2002,Penguin Publishing Group,,1,371p,English
9781101133941,Summer Knight,"Butcher, Jim",Paranormal Fiction,4,18,null,$9.99 ,1,9/3/2002,Penguin Publishing Group,,1,464p,English
9781480596924,Summer Knight,"Butcher, Jim",Paranormal Fiction,5,18,null,$17.00 ,1,8/1/2015,Brilliance Audio,Unabridged,1,11h,English
9780451462947,Death Masks,"Butcher, Jim",Paranormal Fiction,1,18,null,$26.00 ,1,8/5/2003,Penguin Publishing Group,,1,341p,English
9780000000000,Death Masks,"Butcher, Jim",Paranormal Fiction,2,18,null,$0.00 ,0,1/1/1901,Penguin Publishing Group,,1,null,English
9780451459404,Death Masks,"Butcher, Jim",Paranormal Fiction,3,18,null,$9.99 ,1,8/5/2003,Penguin Publishing Group,,1,464p,English
9781101128459,Death Masks,"Butcher, Jim",Paranormal Fiction,4,18,null,$9.99 ,1,8/5/2003,Penguin Publishing Group,,1,464p,English
9781611763942,Death Masks,"Butcher, Jim",Paranormal Fiction,5,18,null,$19.99 ,1,3/31/2015,Penguin Random House Audio Publishing Group,Unabridged,1,11h,English
9780000000000,Death Masks,"Butcher, Jim",Paranormal Fiction,6,18,null,$0.00 ,0,1/1/1901,Penguin Publishing Group,,1,null,English
9780451463357,Blood Rites,"Butcher, Jim",Paranormal Fiction,1,18,null,$26.00 ,1,8/3/2004,Penguin Publishing Group,,1,384p,English
9780356500324,Blood Rites,"Butcher, Jim",Paranormal Fiction,2,18,null,$17.00 ,1,5/1/2011,Orbit,,1,416p,English
9780451459879,Blood Rites,"Butcher, Jim",Paranormal Fiction,3,18,null,$9.99 ,1,8/3/2004,Penguin Publishing Group,,1,372p,English
9781101146668,Blood Rites,"Butcher, Jim",Paranormal Fiction,4,18,null,$9.99 ,1,8/3/2004,Penguin Publishing Group,,1,464p,English
9781101222294,Blood Rites,"Butcher, Jim",Paranormal Fiction,5,18,null,$15.00 ,1,4/15/2010,Penguin Random House Audio Publishing Group,Unabridged,1,13h,English
9780451460271,Dead Beat,"Butcher, Jim",Paranormal Fiction,1,18,null,$42.00 ,1,5/3/2005,Penguin Publishing Group,,1,396p,English
9780356500331,Dead Beat,"Butcher, Jim",Paranormal Fiction,2,18,null,$12.00 ,1,5/2/2006,Orbit,,1,442p,English
9780451460912,Dead Beat,"Butcher, Jim",Paranormal Fiction,3,18,null,$9.99 ,1,5/2/2006,Penguin Publishing Group,,1,528p,English
9781101128442,Dead Beat,"Butcher, Jim",Paranormal Fiction,4,18,null,$9.99 ,1,5/2/2006,Penguin Publishing Group,,1,544p,English
9781101222300,Dead Beat,"Butcher, Jim",Paranormal Fiction,5,18,null,$17.00 ,1,4/15/2010,Penguin Random House Audio Publishing Group,Unabridged,1,15h,English
9780451460851,Proven Guilty,"Butcher, Jim",Paranormal Fiction,1,18,null,$50.00 ,1,5/2/2006,Penguin Publishing Group,,1,406p,English
9780356500348,Proven Guilty,"Butcher, Jim",Paranormal Fiction,2,18,null,$15.00 ,1,5/1/2001,Orbit,,1,496p,English
9780451461032,Proven Guilty,"Butcher, Jim",Paranormal Fiction,3,18,null,$9.35 ,1,2/6/2007,Penguin Publishing Group,,1,576p,English
9781101128619,Proven Guilty,"Butcher, Jim",Paranormal Fiction,4,18,null,$9.99 ,1,2/6/2007,Penguin Publishing Group,,1,576p,English
9780143144748,Proven Guilty,"Butcher, Jim",Paranormal Fiction,5,18,null,$17.00 ,1,4/30/2009,Penguin Random House Audio Publishing Group,Unabridged,1,16h,English
9780451461407,White Night,"Butcher, Jim",Paranormal Fiction,1,18,null,$35.00 ,1,4/3/2007,Penguin Publishing Group,,1,416p,English
9781322689890,White Night,"Butcher, Jim",Paranormal Fiction,2,18,null,$18.00 ,1,2/5/2008,Penguin Publishing Group,,1,448p,English
9780451461551,White Night,"Butcher, Jim",Paranormal Fiction,3,18,null,$9.99 ,1,2/5/2008,Penguin Publishing Group,,1,528p,English
9781101128718,White Night,"Butcher, Jim",Paranormal Fiction,4,18,null,$9.99 ,1,2/5/2008,Penguin Publishing Group,,1,528p,English
9781101052990,White Night,"Butcher, Jim",Paranormal Fiction,5,18,null,$17.00 ,1,4/30/2009,Penguin Random House Audio Publishing Group,Unabridged,1,14h,English
9780451461896,Small Favor,"Butcher, Jim",Paranormal Fiction,1,18,null,$36.00 ,1,4/1/2008,Penguin Publishing Group,,1,432p,English
9780356500362,Small Favor,"Butcher, Jim",Paranormal Fiction,2,18,null,$11.00 ,1,5/1/2011,Orbit,,1,433p,English
9780451462008,Small Favor,"Butcher, Jim",Paranormal Fiction,3,18,null,$9.99 ,1,3/3/2009,Penguin Publishing Group,,1,560p,English
9781101128626,Small Favor,"Butcher, Jim",Paranormal Fiction,4,18,null,$9.99 ,1,3/3/2009,Penguin Publishing Group,,1,560p,English
9781436211406,Small Favor,"Butcher, Jim",Paranormal Fiction,5,18,null,$17.00 ,1,4/1/2008,Penguin Random House Audio Publishing Group,Unabridged,1,13h,English
9780451462565,Turn Coat,"Butcher, Jim",Paranormal Fiction,1,18,null,$35.00 ,1,4/7/2009,Penguin Publishing Group,,1,432p,English
9780451462817,Turn Coat,"Butcher, Jim",Paranormal Fiction,1,18,null,$12.00 ,1,3/2/2010,Penguin Publishing Group,,1,576p,English
9780356500379,Turn Coat,"Butcher, Jim",Paranormal Fiction,3,18,null,$7.50 ,1,3/2/2010,Penguin Publishing Group,,1,576p,English
9781101032428,Turn Coat,"Butcher, Jim",Paranormal Fiction,4,18,null,$9.99 ,1,4/7/2009,Penguin Publishing Group,,1,576p,English
