ISBN,Title,firstAuthorFN,firstAuthorLN,secondAuthorFN,secondAuthorLN,thridAuthorFN,thirdAuthorLN,Publisher,ogPubYear,Language,Genre,Price,invQty,Sale,orderStatus
0-688-08490-7,The Stars Shine Down,Sidney,Sheldon,null,null,null,null,William Morrow,1992,English,Thriller,10.99,1,no,ordered
0-71-815783-4,After You,Jojo,Mayes,null,null,null,null,Penguin,2015,English,Adult novel,5.99,2,no,null
978-1-59514-250-4,Spirit Bound,Richelle,Mead,null,null,null,null,Razorbill,2010,English,YA novel,10.99,3,no,null
0-316-77772-2,Me Talk Pretty One Day,David,Sedaris,null,null,null,null,"Little, Brown and Company",2000,English,Essay Collection,15.99,4,no,null
0-8362-2088-9,Calvin and Hobbes        ,Bill,Waterson,null,null,null,null,Andrews McMeel,1987,English,Comics,15.99,2,no,null
0-8362-1825-6,Something Under the Bed Is Drooling,Bill,Waterson,null,null,null,null,Andrews McMeel,1988,English,Comics,15.99,3,no,null
0-8362-1805-1,The Essential Calvin and Hobbes: A Calvin and Hobbes Treasury,Bill,Waterson,null,null,null,null,Andrews McMeel,1988,English,Comics,15.99,4,no,null
0-8362-1835-3,Yukon Ho!,Bill,Waterson,null,null,null,null,Andrews McMeel,1989,English,Comics,15.99,1,no,ordered
0-8362-1852-3,The Calvin and Hobbes Lazy Sunday Book: A Collection of Sunday Calvin and Hobbes Cartoons,Bill,Waterson,null,null,null,null,Andrews McMeel,1989,English,Comics,15.99,2,no,null
0-8362-1862-0,Weirdos from Another Planet!,Bill,Waterson,null,null,null,null,Andrews McMeel,1990,English,Comics,15.99,2,no,null
0-8362-1822-1,The Authoritative Calvin and Hobbes: A Calvin and Hobbes Treasury,Bill,Waterson,null,null,null,null,Andrews McMeel,1990,English,Comics,15.99,1,no,ordered
0-8362-1866-3,The Revenge of the Baby-Sat,Bill,Waterson,null,null,null,null,Andrews McMeel,1991,English,Comics,15.99,2,no,null
0-8362-1878-7,"Scientific Progress Goes ""Boink""",Bill,Waterson,null,null,null,null,Andrews McMeel,1991,English,Comics,15.99,1,no,ordered
0-8362-1883-3,Attack of the Deranged Mutant Killer Monster Snow Goons,Bill,Waterson,null,null,null,null,Andrews McMeel,1992,English,Comics,15.99,2,no,null
0-8362-1898-1,The Indispensable Calvin and Hobbes: A Calvin and Hobbes Treasury,Bill,Waterson,null,null,null,null,Andrews McMeel,1992,English,Comics,15.99,4,no,null
1-8788-4915-8,Teaching with Calvin and Hobbes,Bill,Waterson,null,null,null,null,Andrews McMeel,1993,English,Comics,15.99,3,no,null
0-8362-1735-7,The Days Are Just Packed,Bill,Waterson,null,null,null,null,Andrews McMeel,1993,English,Comics,15.99,2,no,null
0-8362-0438-7,The Calvin and Hobbes Tenth Anniversary Book,Bill,Waterson,null,null,null,null,Andrews McMeel,1995,English,Comics,15.99,1,no,ordered
0-8362-1312-2,There's Treasure Everywhere,Bill,Waterson,null,null,null,null,Andrews McMeel,1996,English,Comics,15.99,2,no,null
0-8362-2136-2,It's a Magical World,Bill,Waterson,null,null,null,null,Andrews McMeel,1996,English,Comics,15.99,3,no,null
978-0-8129-8032-5,The Heart of a Woman,Maya,Angelou,null,null,null,null,Random House,1981,English,Autobiography,20.99,4,no,null
0-394-52143-9,All God's Children Need Traveling Shoes,Maya,Angelou,null,null,null,null,Random House,1986,English,Autobiography,20.99,2,no,null
0-375-50747-7,A Song Flung Up to Heaven,Maya,Angelou,null,null,null,null,Random House,2002,English,Autobiography,20.99,3,no,null
1-4000-6611-5,Mom & Me & Mom,Maya,Angelou,null,null,null,null,Random House,2013,English,Autobiography,20.99,1,no,ordered
0-394-40545-5,Singin' and Swingin' and Gettin' Merry Like Christmas,Maya,Angelou,null,null,null,null,Random House,1976,English,Autobiography,20.99,4,no,null
0-394-48692-7,Gather Together in My Name,Maya,Angelou,null,null,null,null,Random House,1974,English,Autobiography,20.99,2,no,null
978-0-375-50789-2,I Know Why the Caged Bird Sings,Maya,Angelou,null,null,null,null,Random House,1969,English,Autobiography,20.99,2,no,null
978-0-375-41155-7,The Bluest Eye,Toni,Morrison,null,null,null,null,"Holt, Rinehart and Winston",1970,English,African-American literature,30.99,2,no,null
0-394-48044-9,Sula,Toni,Morrison,null,null,null,null,Knopf,1973,English,African-American literature,30.99,2,no,null
0-394-49784-8,Song of Solomon,Toni,Morrison,null,null,null,null,Knopf,1977,English,African-American literature,30.99,3,no,null
0-394-42329-1,Tar Baby,Toni,Morrison,null,null,null,null,Knopf,1981,English,African-American literature,30.99,4,no,null
1-58060-120-0,Beloved,Toni,Morrison,null,null,null,null,Knopf,1987,English,African-American literature,30.99,4,no,null
0-679-41167-4,Jazz,Toni,Morrison,null,null,null,null,Knopf,1992,English,African-American literature,30.99,3,no,null
0-679-43374-0,Paradise,Toni,Morrison,null,null,null,null,Knopf,1997,English,African-American literature,30.99,1,no,ordered
978-0-375-40944-8,Love,Toni,Morrison,null,null,null,null,Knopf,2003,English,African-American literature,30.99,1,no,ordered
978-0-307-26423-7,A Mercy,Toni,Morrison,null,null,null,null,Knopf,2008,English,African-American literature,30.99,1,no,ordered
978-0-307-59416-7,Home,Toni,Morrison,null,null,null,null,Knopf,2012,English,African-American literature,30.99,2,no,null
307740927,God Help the Child,Toni,Morrison,null,null,null,null,Knopf,2015,English,African-American literature,30.99,3,no,null
0-15-119153-0,The Color Purple,Alice,Walker,null,null,null,null,Harcourt Brace Jovanovich,1982,English,African-American literature,25.99,4,no,null
0-7475-3269-9,Harry Potter and the Philosopher's Stone,J.K.,Rowling,null,null,null,null,Bloomsbury,1998,English,Fantasy,15.99,3,yes,null
